id,lag,Between,Within
2,lag3,-2.289,-2.244
3,lag3,-2.287,-1.954
4,lag3,-4.386,-3.29
5,lag3,-6.112,-6.747
7,lag3,-3.035,-0.847
10,lag3,-0.214,-1.713
11,lag3,-6.214,-5.149
12,lag3,-1.882,0.174
13,lag3,-3.514,-2.509
14,lag3,1.199,0.208
15,lag3,-6.853,-6.549
16,lag3,-4.956,-3.965
17,lag3,-1.184,-0.847
18,lag3,-1.918,-1.906
19,lag3,-1.428,-1.652
20,lag3,-4.53,-3.189
21,lag3,-1.122,-1.764
22,lag3,-4.962,-3.452
23,lag3,-3.328,-2.189
25,lag3,-3.835,-5.224
26,lag3,-3.996,-3.722
28,lag3,-3.51,-2.665
30,lag3,0.276,0.318
2,lag7,-4.719,-4.847
3,lag7,-4.855,-4.451
4,lag7,-1.674,-1.719
5,lag7,-3.639,-3.165
7,lag7,-3.857,-2.475
10,lag7,-2.435,-2.764
11,lag7,-3.55,-3.896
12,lag7,-2.973,-1.699
13,lag7,-3.995,-3.699
14,lag7,-1.913,-2.78
15,lag7,-6.263,-7.652
16,lag7,-5.586,-4.24
17,lag7,-5.46,-5.169
18,lag7,-7.934,-7.054
19,lag7,-2.911,-1.808
20,lag7,-3.492,-3.967
21,lag7,-0.798,-1.009
22,lag7,-5.89,-5.423
23,lag7,-1.29,-1.133
25,lag7,-0.192,-0.545
26,lag7,-2.181,-1.275
28,lag7,-5.001,-3.884
30,lag7,-0.446,0.95
