id,lag,Between,Within,,,
2,lag3,0.002,-0.317,,,
3,lag3,-0.393,-0.887,,,
4,lag3,-0.31,-0.918,,,
5,lag3,-0.406,-0.45,,,
7,lag3,-0.23,-0.572,,,
10,lag3,-0.099,-0.039,,,
11,lag3,-0.51,-0.111,,,
12,lag3,-0.486,-0.602,,,
13,lag3,-0.381,-0.291,,,
14,lag3,-0.146,-0.155,,,
15,lag3,-0.394,-0.283,,,
16,lag3,-0.23,-0.634,,,
17,lag3,0.174,-0.102,,,
18,lag3,-0.692,-0.277,,,
19,lag3,-0.085,-0.282,,,
20,lag3,-0.209,-0.259,,,
21,lag3,0.307,0.055,,,
22,lag3,-0.109,-0.546,,,
23,lag3,0.029,0.145,,,
25,lag3,0.09,-0.748,,,
26,lag3,-0.048,-0.175,,,
28,lag3,-0.055,-0.183,,,
30,lag3,-0.209,-0.5,,,
2,lag7,-0.798,-0.084,,,
3,lag7,-0.354,-0.311,,,
4,lag7,-0.569,-1.675,,,
5,lag7,-0.229,-0.347,,,
7,lag7,-0.513,-0.123,,,
10,lag7,-0.461,0.216,,,
11,lag7,0.411,-0.438,,,
12,lag7,-0.604,-0.387,,,
13,lag7,-0.555,-0.078,,,
14,lag7,-0.083,0.216,,,
15,lag7,-0.471,-0.374,,,
16,lag7,-0.684,-0.542,,,
17,lag7,-0.467,-0.914,,,
18,lag7,-1.136,-0.835,,,
19,lag7,-0.073,-0.263,,,
20,lag7,-0.781,-0.688,,,
21,lag7,-0.369,-0.034,,,
22,lag7,-0.729,-0.488,,,
23,lag7,-0.058,-0.214,,,
25,lag7,-1.123,-0.305,,,
26,lag7,-0.07,-0.473,,,
28,lag7,-0.233,-0.201,,,
30,lag7,-0.621,-0.125,,,
