id,lag,Between,Within
2,lag3,1.617,1.38
3,lag3,3.32,1.716
4,lag3,-2.486,-1.832
5,lag3,0.227,-0.474
7,lag3,-2.369,-0.62
10,lag3,-2.096,-2.015
11,lag3,-5.459,-6.405
12,lag3,0.372,1.36
13,lag3,0.379,1.256
14,lag3,4.211,3.131
15,lag3,-3.699,-1.214
16,lag3,-2.857,-2.13
17,lag3,0.711,1.273
18,lag3,2.604,2.76
19,lag3,-2.673,-2.372
20,lag3,1.424,0.994
21,lag3,-0.369,-1.272
22,lag3,-2.93,-2.869
23,lag3,-1.374,-1.656
25,lag3,-1.87,-1.448
26,lag3,-1.038,-0.394
28,lag3,3,1.062
30,lag3,-0.429,0.478
2,lag7,0.137,-0.309
3,lag7,-1.738,-1.2
4,lag7,-0.921,-0.931
5,lag7,-1.052,-0.309
7,lag7,-1.667,-0.451
10,lag7,-0.005,0.091
11,lag7,-2.559,-2.508
12,lag7,-0.21,0.69
13,lag7,-1.187,-1.375
14,lag7,1.549,1.099
15,lag7,-3.432,-4.493
16,lag7,-2.41,-2.416
17,lag7,-2.521,-2.904
18,lag7,-4.638,-3.588
19,lag7,-1.586,-1.772
20,lag7,0.662,0.171
21,lag7,-1.006,-2.207
22,lag7,-3.868,-2.616
23,lag7,-0.762,-0.681
25,lag7,0.458,0.934
26,lag7,1.209,0.728
28,lag7,-0.749,0.219
30,lag7,-1.162,0.472
