id,lag,category,acc,N400,P1,N2
2,lag3,between,0.95 ,0.002,1.617,-2.289
3,lag3,between,0.75 ,-0.393,3.32,-2.287
4,lag3,between,0.95 ,-0.31,-2.486,-4.386
5,lag3,between,0.95 ,-0.406,0.227,-6.112
7,lag3,between,0.86 ,-0.23,-2.369,-3.035
10,lag3,between,0.72 ,-0.099,-2.096,-0.214
11,lag3,between,0.62 ,-0.51,-5.459,-6.214
12,lag3,between,0.84 ,-0.486,0.372,-1.882
13,lag3,between,0.93 ,-0.381,0.379,-3.514
14,lag3,between,0.86 ,-0.146,4.211,1.199
15,lag3,between,0.97 ,-0.394,-3.699,-6.853
16,lag3,between,0.91 ,-0.23,-2.857,-4.956
17,lag3,between,0.88 ,0.174,0.711,-1.184
18,lag3,between,0.80 ,-0.692,2.604,-1.918
19,lag3,between,0.43 ,-0.085,-2.673,-1.428
20,lag3,between,0.81 ,-0.209,1.424,-4.53
21,lag3,between,0.62 ,0.307,-0.369,-1.122
22,lag3,between,0.81 ,-0.109,-2.93,-4.962
23,lag3,between,0.71 ,0.029,-1.374,-3.328
25,lag3,between,0.77 ,0.09,-1.87,-3.835
26,lag3,between,0.54 ,-0.048,-1.038,-3.996
28,lag3,between,0.58 ,-0.055,3,-3.51
30,lag3,between,0.40 ,-0.209,-0.429,0.276
2,lag3,within,0.96 ,-0.317,1.38,-2.244
3,lag3,within,0.76 ,-0.887,1.716,-1.954
4,lag3,within,0.94 ,-0.918,-1.832,-3.29
5,lag3,within,0.96 ,-0.45,-0.474,-6.747
7,lag3,within,0.65 ,-0.572,-0.62,-0.847
10,lag3,within,0.80 ,-0.039,-2.015,-1.713
11,lag3,within,0.74 ,-0.111,-6.405,-5.149
12,lag3,within,0.80 ,-0.602,1.36,0.174
13,lag3,within,0.59 ,-0.291,1.256,-2.509
14,lag3,within,0.89 ,-0.155,3.131,0.208
15,lag3,within,0.83 ,-0.283,-1.214,-6.549
16,lag3,within,0.94 ,-0.634,-2.13,-3.965
17,lag3,within,0.89 ,-0.102,1.273,-0.847
18,lag3,within,0.84 ,-0.277,2.76,-1.906
19,lag3,within,0.66 ,-0.282,-2.372,-1.652
20,lag3,within,0.71 ,-0.259,0.994,-3.189
21,lag3,within,0.68 ,0.055,-1.272,-1.764
22,lag3,within,0.72 ,-0.546,-2.869,-3.452
23,lag3,within,0.72 ,0.145,-1.656,-2.189
25,lag3,within,0.77 ,-0.748,-1.448,-5.224
26,lag3,within,0.51 ,-0.175,-0.394,-3.722
28,lag3,within,0.41 ,-0.183,1.062,-2.665
30,lag3,within,0.23 ,-0.5,0.478,0.318
2,lag7,between,0.94 ,-0.798,0.137,-4.719
3,lag7,between,0.82 ,-0.354,-1.738,-4.855
4,lag7,between,0.96 ,-0.569,-0.921,-1.674
5,lag7,between,0.97 ,-0.229,-1.052,-3.639
7,lag7,between,0.90 ,-0.513,-1.667,-3.857
10,lag7,between,0.94 ,-0.461,-0.005,-2.435
11,lag7,between,0.76 ,0.411,-2.559,-3.55
12,lag7,between,0.81 ,-0.604,-0.21,-2.973
13,lag7,between,0.97 ,-0.555,-1.187,-3.995
14,lag7,between,0.96 ,-0.083,1.549,-1.913
15,lag7,between,0.91 ,-0.471,-3.432,-6.263
16,lag7,between,0.93 ,-0.684,-2.41,-5.586
17,lag7,between,0.98 ,-0.467,-2.521,-5.46
18,lag7,between,0.96 ,-1.136,-4.638,-7.934
19,lag7,between,0.79 ,-0.073,-1.586,-2.911
20,lag7,between,0.89 ,-0.781,0.662,-3.492
21,lag7,between,0.69 ,-0.369,-1.006,-0.798
22,lag7,between,0.86 ,-0.729,-3.868,-5.89
23,lag7,between,0.84 ,-0.058,-0.762,-1.29
25,lag7,between,0.86 ,-1.123,0.458,-0.192
26,lag7,between,0.73 ,-0.07,1.209,-2.181
28,lag7,between,0.76 ,-0.233,-0.749,-5.001
30,lag7,between,0.47 ,-0.621,-1.162,-0.446
2,lag7,within,0.98 ,-0.084,-0.309,-4.847
3,lag7,within,0.84 ,-0.311,-1.2,-4.451
4,lag7,within,0.95 ,-1.675,-0.931,-1.719
5,lag7,within,0.97 ,-0.347,-0.309,-3.165
7,lag7,within,0.81 ,-0.123,-0.451,-2.475
10,lag7,within,0.96 ,0.216,0.091,-2.764
11,lag7,within,0.81 ,-0.438,-2.508,-3.896
12,lag7,within,0.79 ,-0.387,0.69,-1.699
13,lag7,within,0.92 ,-0.078,-1.375,-3.699
14,lag7,within,0.87 ,0.216,1.099,-2.78
15,lag7,within,0.96 ,-0.374,-4.493,-7.652
16,lag7,within,0.91 ,-0.542,-2.416,-4.24
17,lag7,within,0.92 ,-0.914,-2.904,-5.169
18,lag7,within,0.95 ,-0.835,-3.588,-7.054
19,lag7,within,0.76 ,-0.263,-1.772,-1.808
20,lag7,within,0.89 ,-0.688,0.171,-3.967
21,lag7,within,0.64 ,-0.034,-2.207,-1.009
22,lag7,within,0.90 ,-0.488,-2.616,-5.423
23,lag7,within,0.76 ,-0.214,-0.681,-1.133
25,lag7,within,0.91 ,-0.305,0.934,-0.545
26,lag7,within,0.79 ,-0.473,0.728,-1.275
28,lag7,within,0.74 ,-0.201,0.219,-3.884
30,lag7,within,0.51 ,-0.125,0.472,0.95
